"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 17:15:29 CST 2023","Mon Apr 10 17:16:15 CST 2023","45819","tests","test_case","Test_py","","","test_login",""
"passed","Mon Apr 10 17:16:15 CST 2023","Mon Apr 10 17:16:25 CST 2023","10228","tests","test_case","Test_py","","","test_addFood",""
